feature,mean_train,std_train
age,39.001812091592996,9.544188535318414
no_of_children,0.41836252829804466,0.7066546556686147
net_yearly_income,195254.4445459861,99177.42632748303
no_of_days_employed,67794.56192999026,138966.2521824698
total_family_members,2.156158365823509,0.9015985546966149
yearly_debt_payments,31595.943884094348,16154.105991597395
credit_limit,42396.48934951103,26134.2812349507
credit_score,782.7031409601018,100.2217781036927
owns_car_missing,0.011778595354456097,0.1078881830690094
no_of_children_missing,0.01674811926857394,0.12832622401340876
no_of_days_employed_missing,0.010021415627917193,0.09960415080070573
total_family_members_missing,0.0,1.0
migrant_worker_missing,0.0,1.0
yearly_debt_payments_missing,0.0,1.0
credit_score_missing,0.0,1.0
