Step,Feature,x_norm,Mask,x_norm_x_Mask
6,age,-0.41929305,1.0,-0.41929304599761963
6,credit_limit_used(%),97.0,0.0,0.0
6,yearly_debt_payments_missing,0.0,0.0,0.0
6,migrant_worker_missing,0.0,0.0,0.0
6,total_family_members_missing,0.0,0.0,0.0
6,no_of_days_employed_missing,-0.100612424,0.0,-0.0
6,no_of_children_missing,-0.13051206,0.0,-0.0
6,owns_car_missing,-0.109174095,0.0,-0.0
6,default_in_last_6months,1.0,0.0,0.0
6,prev_defaults,1.0,0.0,0.0
6,credit_score,-2.2520368,0.0,-0.0
6,credit_limit,0.03642351,0.0,0.0
6,gender,1.0,0.0,0.0
6,yearly_debt_payments,-1.323702,0.0,-0.0
6,migrant_worker,0.0,0.0,0.0
6,total_family_members,0.9359393,0.0,0.0
6,occupation_type,17.0,0.0,0.0
6,no_of_days_employed,-0.48311415,0.0,-0.0
6,net_yearly_income,-0.07780579,0.0,-0.0
6,no_of_children,0.8230859,0.0,0.0
6,owns_house,1.0,0.0,0.0
6,owns_car,0.0,0.0,0.0
6,credit_score_missing,0.0,0.0,0.0
