Step,Feature,x_norm,Mask,x_norm_x_Mask
4,prev_defaults,1.0,1.0,1.0
4,age,-0.41929305,0.0,-0.0
4,credit_limit_used(%),97.0,0.0,0.0
4,yearly_debt_payments_missing,0.0,0.0,0.0
4,migrant_worker_missing,0.0,0.0,0.0
4,total_family_members_missing,0.0,0.0,0.0
4,no_of_days_employed_missing,-0.100612424,0.0,-0.0
4,no_of_children_missing,-0.13051206,0.0,-0.0
4,owns_car_missing,-0.109174095,0.0,-0.0
4,default_in_last_6months,1.0,0.0,0.0
4,credit_score,-2.2520368,0.0,-0.0
4,credit_limit,0.03642351,0.0,0.0
4,gender,1.0,0.0,0.0
4,yearly_debt_payments,-1.323702,0.0,-0.0
4,migrant_worker,0.0,0.0,0.0
4,total_family_members,0.9359393,0.0,0.0
4,occupation_type,17.0,0.0,0.0
4,no_of_days_employed,-0.48311415,0.0,-0.0
4,net_yearly_income,-0.07780579,0.0,-0.0
4,no_of_children,0.8230859,0.0,0.0
4,owns_house,1.0,0.0,0.0
4,owns_car,0.0,0.0,0.0
4,credit_score_missing,0.0,0.0,0.0
